What is the primary objective of medical genetics in clinical practice?,"The application of genetics to medical practice, including studies of disease inheritance, mapping, and molecular mechanisms."
How does linkage analysis change a risk estimate for a person who has inherited a marker allele linked to a disease gene?,It modifies the risk based on the established phase and the recombination frequency ($\theta$).
Why are single nucleotide polymorphisms (SNPs) useful in GWAS for risk calculation?,They provide a dense set of markers across the genome to identify associations with common multifactorial disorders.
What is 'carrier screening' intended to achieve in specific ethnic groups?,To identify heterozygous individuals at risk of having offspring with specific autosomal recessive disorders common in that group.
"In Bayesian analysis for X-linked recessive carriers, what is the conditional probability if the woman has $3$ healthy sons?",$(1/2)^3 = 1/8$.
"What describes a diagnostic panel that examines specific genes associated with a condition, such as familial colorectal cancer?",Targeted disease-sequencing panel.
How does 'reduced penetrance' complicate the calculation of recurrence risks?,It means an individual may inherit the disease-causing genotype but never manifest the clinical symptoms.
What is the typical sibling recurrence risk for multifactorial congenital malformations?,$5\%$ or less.
What is 'incidental finding' in the context of whole-genome sequencing?,Discovering a pathogenic variant for a disease unrelated to the original reason for testing.
What constitutes the 'liability' in the multifactorial threshold model?,The combined influence of all genetic and environmental factors that contribute to the development of a disease.
"In the Hardy-Weinberg principle, what term represents the frequency of heterozygous carriers?",$2pq$.
